"artname";"ap_id";"pop_nr";"pop_status";"tpop_id";"tpop_nr";"tpop_status";"kontrolljahre_ab";"ekfrequenz_startjahr";"letzte_anzahl";"ekfrequenz_code";"ekfrequenz"
"Aldrovanda vesiculosa L.";"6c52d173-4f62-11e7-aebe-2bd3a2ea4576";23;200;"ad1193b6-7cc7-11ed-b9dd-131057ed9461";1;200;"ansiedlung";2022;"NULL";"SA";"d45a2b84-0630-11ea-8476-179c0d3f4885"
"Aldrovanda vesiculosa L.";"6c52d173-4f62-11e7-aebe-2bd3a2ea4576";23;200;"b5bc0078-7cc7-11ed-b9dd-8fd6a03bc94a";2;200;"ansiedlung";2022;"NULL";"SA";"d45a2b84-0630-11ea-8476-179c0d3f4885"
"Allium angulosum L.";"6c52d126-4f62-11e7-aebe-cbb8319e1712";15;200;"d23a828a-06a0-11ed-9bd0-7f6d803a3952";2;200;"ansiedlung";"NULL";"NULL";"SA";"d45a2b83-0630-11ea-8476-0721f026c46e"
"Allium angulosum L.";"6c52d126-4f62-11e7-aebe-cbb8319e1712";15;200;"5db75022-06a1-11ed-861d-976ff59a8c52";3;200;"ansiedlung";"NULL";"NULL";"SA";"d45a2b83-0630-11ea-8476-0721f026c46e"
"Allium angulosum L.";"6c52d126-4f62-11e7-aebe-cbb8319e1712";25;200;"098bc4f0-293e-11ed-8cdb-cba3534468ba";6;201;"ansiedlung";2022;"NULL";"A";"d45a29b5-0630-11ea-8476-e7cc8137cbb2"
"Allium angulosum L.";"6c52d126-4f62-11e7-aebe-cbb8319e1712";25;200;"6a61b9ba-2d17-11ed-8133-e3918e034db8";7;201;"ansiedlung";2022;"NULL";"A";"d45a29b5-0630-11ea-8476-e7cc8137cbb2"
"Allium angulosum L.";"6c52d126-4f62-11e7-aebe-cbb8319e1712";25;200;"3ee7a9b0-2d18-11ed-af2c-9385699b8100";8;201;"ansiedlung";2022;"NULL";"A";"d45a29b5-0630-11ea-8476-e7cc8137cbb2"
"Allium angulosum L.";"6c52d126-4f62-11e7-aebe-cbb8319e1712";36;201;"329d08b2-3a6a-11ed-8b66-d39a27af6b37";1;201;"ansiedlung";2022;"NULL";"A";"d45a29b5-0630-11ea-8476-e7cc8137cbb2"
"Allium angulosum L.";"6c52d126-4f62-11e7-aebe-cbb8319e1712";36;201;"ef52161e-3a6a-11ed-af10-a7f62f1a279c";2;201;"ansiedlung";2022;"NULL";"A";"d45a29b5-0630-11ea-8476-e7cc8137cbb2"
"Allium angulosum L.";"6c52d126-4f62-11e7-aebe-cbb8319e1712";37;201;"b0c2170a-4afa-11ed-af56-a7c791cbdeb9";1;201;"ansiedlung";2022;"NULL";"A";"d45a29b5-0630-11ea-8476-e7cc8137cbb2"
"Allium suaveolens Jacq.";"6c52d12e-4f62-11e7-aebe-7f03d44a411b";8;200;"236d8548-b4ef-11ec-bd32-5385d6d37e3b";2;200;"ansiedlung";"NULL";"NULL";"SA";"3969b6ec-616a-11ec-98fe-0fd7d50aab1c"
"Allium suaveolens Jacq.";"6c52d12e-4f62-11e7-aebe-7f03d44a411b";10;201;"764a5d32-2393-11ed-b3c1-53e28ff0bad8";1;201;"ansiedlung";2022;"NULL";"A";"395e7868-616a-11ec-92f0-2b22a8ea1bf5"
