"artname","pop_nr","tpop_nr","jahr","typ"
"Aldrovanda vesiculosa L.",25,1,2025,"ek"
"Aldrovanda vesiculosa L.",25,1,2029,"ek"
"Aldrovanda vesiculosa L.",25,1,2037,"ek"
"Aldrovanda vesiculosa L.",25,1,2045,"ek"
"Aldrovanda vesiculosa L.",25,2,2025,"ek"
"Aldrovanda vesiculosa L.",25,2,2029,"ek"
"Aldrovanda vesiculosa L.",25,2,2037,"ek"
"Aldrovanda vesiculosa L.",25,2,2045,"ek"
"Aldrovanda vesiculosa L.",25,3,2025,"ek"
"Aldrovanda vesiculosa L.",25,3,2029,"ek"
"Aldrovanda vesiculosa L.",25,3,2037,"ek"
"Aldrovanda vesiculosa L.",25,3,2045,"ek"
"Aldrovanda vesiculosa L.",25,4,2025,"ek"
"Aldrovanda vesiculosa L.",25,4,2029,"ek"
"Aldrovanda vesiculosa L.",25,4,2037,"ek"
"Aldrovanda vesiculosa L.",25,4,2045,"ek"
"Aldrovanda vesiculosa L.",25,5,2025,"ek"
"Aldrovanda vesiculosa L.",25,5,2029,"ek"
"Aldrovanda vesiculosa L.",25,5,2037,"ek"
"Aldrovanda vesiculosa L.",25,5,2045,"ek"
"Aldrovanda vesiculosa L.",25,6,2025,"ek"
"Aldrovanda vesiculosa L.",25,6,2029,"ek"
"Aldrovanda vesiculosa L.",25,6,2037,"ek"
"Aldrovanda vesiculosa L.",25,6,2045,"ek"
"Allium angulosum L.",1,7,2029,"ek"
"Allium angulosum L.",1,7,2031,"ek"
"Allium angulosum L.",1,7,2035,"ek"
"Allium angulosum L.",1,7,2043,"ek"
"Allium angulosum L.",17,2,2029,"ek"
"Allium angulosum L.",17,2,2031,"ek"
"Allium angulosum L.",17,2,2035,"ek"
"Allium angulosum L.",17,2,2043,"ek"
"Allium angulosum L.",38,1,2029,"ek"
"Allium angulosum L.",38,1,2031,"ek"
"Allium angulosum L.",38,1,2035,"ek"
"Allium angulosum L.",38,1,2043,"ek"
"Allium angulosum L.",39,1,2029,"ek"
"Allium angulosum L.",39,1,2031,"ek"
"Allium angulosum L.",39,1,2035,"ek"
"Allium angulosum L.",39,1,2043,"ek"
"Allium angulosum L.",39,2,2029,"ek"
"Allium angulosum L.",39,2,2031,"ek"
"Allium angulosum L.",39,2,2035,"ek"
"Allium angulosum L.",39,2,2043,"ek"
"Allium angulosum L.",40,1,2029,"ek"
"Allium angulosum L.",40,1,2031,"ek"
"Allium angulosum L.",40,1,2035,"ek"
"Allium angulosum L.",40,1,2043,"ek"
"Allium angulosum L.",41,1,2029,"ek"
"Allium angulosum L.",41,1,2031,"ek"
"Allium angulosum L.",41,1,2035,"ek"
"Allium angulosum L.",41,1,2043,"ek"
"Allium angulosum L.",41,2,2029,"ek"
"Allium angulosum L.",41,2,2031,"ek"
"Allium angulosum L.",41,2,2035,"ek"
"Allium angulosum L.",41,2,2043,"ek"
"Allium suaveolens Jacq.",11,1,2021,"ek"
"Allium suaveolens Jacq.",11,1,2025,"ek"
"Allium suaveolens Jacq.",11,1,2033,"ek"
"Allium suaveolens Jacq.",11,1,2041,"ek"
